Record_ID,Country,Date,Temperature_C,Humidity_%,Precipitation_mm,Wind_Speed_kmph,Solar_Radiation,CO2_ppm,Ozone_ppb,Rainfall,Storm,Snow,Cloud_Cover_%,Visibility_km,Air_Quality_Index,Region,Urban_or_Rural,Pollution_Level,Energy_Consumption_MWh
1.0,,2020-01-01,16.450067797413602,54.5592608805772,184.01085010153918,85.08145164357191,843.1965116758196,371.4569455886609,56.2414614695171,Yes,Yes,,52.1947213259796,12.93448554405048,389.0,North,Rural,Medium,560.8236328524454
2.0,Germany,2020-01-02,22.318167239323465,93.23959643183554,131.77121161695428,12.730404705016618,229.45248903502153,,75.40562595667296,No,No,No,20.84961066796013,19.119898184601553,119.0,West,Rural,Medium,786.859634676027
3.0,France,2020-01-03,,71.67528610214949,91.18550513669004,27.795860462031584,,424.52727209723395,,No,No,nan!,,17.318359592525045,,,Rural,Low,602.885794062007
4.0,Italy,2020-01-04,-7.205618739414623,48.48694308335112,185.07908151395677,,136.65963301128033,373.8745879439547,94.1726231148811,Yes,Yes,Yes,9.719234078234562,2.6368704482175165,201.0,East,Rural,,961.903505419284
5.0,Netherlands,,,57.17042894497129,180.02943850053802,66.5498262669918,,377.21464073024214,31.996945000076728,No,No,Yes,,9.052077560867628,,West,Urban,Medium,889.4697419068966
,Netherlands,,22.112365124880064,42.24998266888855,,39.56714146879649,906.1041898685068,414.8412387564683,80.66789288814996,No,Yes,Yes,85.25609321215698,9.095371153819347,,,Rural,nanxx,576.4301057187524
7.0,Germany,2020-01-07,,96.8342945170242,112.72819262463847,23.888504745049634,,382.2846529189898,99.20419662032234,No,,No,59.556678811003415,9.126674209205959,91.0,South,Urban,High,424.9436875894387
8.0,Spain,2020-01-08,26.341478056816626,76.15560680149662,181.07479639171527,3.314297977827274,402.6692106563142,385.5316771979564,12.6119673577034,Yes,Yes,Yes,43.86198784179444,18.614078982185582,,North,Urban,Medium,196.94393364685004
9.0,Italy,2020-01-09,7.503073290433946,51.38386098079592,63.87973247894318,84.25079412233755,778.3497055642682,428.0942670160249,43.65868831578855,Yes,,Yes,,6.54385727410804,,North,Urban,Low,244.74268492982333
,Spain,2020-01-10,,,81.50744627938822,41.89337629211216,549.2063502601732,376.69270496852823,49.243228084894504,Yes,Yes,No,98.95140432597876,12.285460743643487,254.0,East,Rural,High,218.79560442085133
11.0,Germany,2020-01-11,23.230972412547956,34.16152679185981,,32.922899891564285,325.6081728747122,420.52411965292106,83.96490985013872,Yes,,,18.8813394616134,17.926268933346073,264.0,West,Urban,Low,891.6105774792555
12.0,Netherlands,2020-01-12,31.51176430512649,58.21937752171459,139.72776907132493,53.08262211269705,68.51592788094449,443.4884863430377,11.236907382836982,Yesxx,No,Yes,5.073300189079699,1.0107730599720544,195.0,East,Urban,Low,916.808179506636
,Spain,2020-01-13,9.275377091610384,57.40536399815635,9.730078399336527,,,362.4135156998238,63.8757578921562,No,No,Yes,46.29880390912194,,101.0,North,Urban,,320.1351340589297
14.0,Germany,2020-01-14,-9.892057962508002,53.42309110139584,23.47528730759285,39.735835809715645,,364.42841946590937,90.3320929013763,No,Yes,No,28.739611099505534,15.299179963063201,369.0,South,Urban,Medium,701.9020174088846
15.0,Spain,2020-01-15,-1.6915703003247309,88.14448229246338,169.252775627642,75.17857379995701,247.1511432966491,444.2873100811816,23.28643526072696,No,Yes,Yes,66.67515373082688,4.157447840177952,250.0,East,Rural,High,124.66364490159943
16.0,Netherlands,,36.35887086347531,98.33464935043018,5.9477475331801255,73.61174491492484,76.08613705972415,370.3519257235885,20.401625517668176,No,Yes,Yes,49.42583587165775,6.510225893220298,413.0,West,Urban,Medium,561.4241866178804
17.0,,2020-01-17,-8.343798312574377,48.385853837850604,183.98584111138763,77.18963632997901,142.350606854023,,99.98077948360026,No,No,Yes,49.90029524122338,6.211734942347043,485.0,,Rural,Low,299.41141073386535
18.0,France,2020-01-18,,43.568850732123195,54.350550467074484,46.7417092102229,497.11117408345376,436.85079160200996,,No,Yes,Yes,35.498202898191145,4.426130095779259,317.0,,Urban,High,950.5762300834451
